pplid	pplxid
6295527	6291109
6291664	6291474
2978742	2660142
2661203	2660070
2661203	2659935
2660646	2659921
6295550	2659910
2661552	2659734
2661552	2659745
6295539	2660306
3169891	3169888
3169891	3169889
2252349	2595996
6587603	1988421
875574	875572
570756	875587
552225	875575
6607562	875593
570756	875615
3176366	3181821
3182054	3343608
3182054	3217496
3343591	3217446
3163957	3212528
3163957	3212526
3163957	3212484
3177134	3212478
3169251	3212467
3169251	3212465
3177134	3179566
3166617	3178852
3223754	3178612
3177134	3178063
3163957	3171309
3169276	3169268
3169276	3169257
3181651	3169080
3166617	3168833
2525068	2524993
2592658	2524840
2525646	2522949
3163957	3169980
3177134	3166594
2592658	2523072
3179242	6269270
3176959	6269272
2771765	2764553
2761369	2775260
2769270	2761669
3333572	3333571
3333555	3333558
3333531	3333530
2782991	3333522
3333516	3333517
3333507	3333508
3322743	3333504
2774971	3324728
2779225	3321860
2777158	3321859
3321863	3321858
2777158	3321857
2777158	3321856
2777158	3321854
3321853	3321838
3321833	3321834
2768450	3321608
2771768	3321461
3320540	3321057
2782245	3320896
2782245	3320887
2768199	3320883
2770856	3320766
2762786	3320708
2777252	3319960
2779030	3319818
2774005	3319768
2782566	3319534
2779979	3315072
3322849	2782868
3322696	2782833
2772561	2782666
2779979	2782661
3319532	2782560
3324600	2782492
3322743	2782315
3233832	2782285
2779979	2782272
2601093	2782172
2782634	2782081
3333507	2781460
2598711	2781053
2765958	2780850
2782634	2780753
2769487	2780578
3334971	2780361
3334896	2780064
2764359	2780042
2777836	2779912
2774326	2779619
3333502	2779469
2762698	2769806
2771765	2779402
2775468	2779270
3324203	2778633
2765077	2778528
2778514	2778515
2780972	2778486
3322849	2778420
2761102	2778284
2774326	2778275
3324203	2777937
3333516	2777665
2782634	2777431
2601093	2777109
2601029	2777094
2760487	2776983
2782634	2776876
2765499	2776741
2780741	2776696
2761738	2776488
2766824	2776482
2779979	2776421
3322743	2776165
2775220	2775479
2771133	2775389
2601093	2775371
3336584	2775234
2779979	2775204
3322860	2775164
2766372	2775154
3333528	2775098
3333500	2775029
2768613	2775014
2762460	2775013
3333502	2774984
2769110	2774904
2782120	2774616
3322848	2774122
2779280	2774077
2778318	2773814
2762304	2773602
2782844	2773536
2771935	2773405
3334938	2773362
2780207	2773320
2779979	2773124
2769769	2773064
2769814	2762516
2761747	2762391
2778320	2762316
2763209	2762165
2778318	2762072
2772673	2761937
3334940	2761936
2764178	2761805
2776815	2761785
2601093	2761739
2778255	2761667
2778170	2761513
3335036	2761492
3334932	2761436
3319532	2761164
2768998	2760675
2768334	2608790
2770222	2608784
2608481	2608480
2608270	2608272
2775130	2608265
2771089	2608089
2608064	2608063
2768120	2607811
2607776	2607775
2607691	2607692
2776874	3324317
3324037	3324288
2769854	3324117
3324113	3324110
2607628	2607624
2771452	2607487
3323159	3323160
3323156	3323149
3322826	3322825
3322818	3322820
3322818	3322819
3322818	3322809
2762403	3322808
3322724	3322750
3322724	3322725
3322696	3322700
3322724	3322699
3322696	3322698
3322696	3322697
2761358	3322582
2778224	3322573
3322324	3322321
3322296	3322298
2764175	3322282
3322190	3322189
2781936	3322161
2761819	3322132
3322116	3322117
2776531	3322077
3321959	3322031
2761999	3321973
2782120	3321913
2782120	3321912
2782634	3321911
2768483	3321910
3321888	3321887
2781860	3321876
2782407	2607103
2769110	2767332
3333535	3333518
2761102	2772719
3322823	2772616
3334896	2772522
3322853	2772507
2771305	2601499
2777250	2601455
2601384	2601382
2776358	2601348
2771335	2601342
2781780	2601336
2762150	2601293
2779979	2601250
2762150	2601247
2777015	2776640
2775119	3335185
2779228	3335150
3335093	3335092
2771935	3335008
3334872	3334869
3334836	3334863
3334859	3334861
2781461	3334840
3334836	3334835
2762358	3334002
3333925	3333922
3333925	3333921
2769953	3333920
2777418	2601226
2779979	2601215
2601223	2601155
2762178	2601149
2601148	2601147
2770705	2601137
2601093	2601120
